Source,Count Devices per Participant
not-found-10-fat-peafowl-went-patiently,372
not-found-15-high-swans-cried-correctly,3237
not-found-15-thirsty-robins-sat-easily,1
not-found-16-dry-robins-married-quietly,95
not-found-21-bad-squirrels-whimpered-fast,6213
not-found-25-dangerous-geese-played-loudly,1843
not-found-31-comfortable-stoats-knitted-easily,12493
not-found-32-useful-salmons-engaged-quietly,1006
not-found-33-low-cockles-drove-carefully,154
not-found-33-sad-mussles-hid-correctly,1071
not-found-7-strong-parrots-walked-merrily,837
